"ChainCode","IataCode","DupeId","Name","HotelId","Latitude","Longitude","CountryCode","Distance","Unit"
"AC","PAR","700140792","LE NOTRE DAME","ACPAR419","48.85306","2.34654","FR","0.17","KM"
"AC","PAR","700058597","DE NOTRE DAME","ACPAR243","48.85038","2.3494","FR","0.33","KM"
"BW","PAR","700054608","BW PREMIER ROYAL SAINT MICHEL","BWPAR599","48.85269","2.34384","FR","0.37","KM"
"AC","PAR","700029537","ABBATIAL SAINT GERMAIN","ACPARABA","48.84973","2.35061","FR","0.42","KM"
"FG","PAR","505296841","FG TEST PROPERTY","FGPARLAN","48.8569","2.35085","FR","0.42","KM"
"RT","PAR","505297506","ANITHAA PROPERTY","RTPARZYW","48.8569","2.35085","FR","0.42","KM"
"RT","PAR","505298504","ANITHAA PROPERTY","RTPARAYU","48.8569","2.35085","FR","0.42","KM"
"RT","PAR","700009189","MERCURE PARIS NOTRE DAME","RTPARDAM","48.85025","2.3452","FR","0.43","KM"
"AC","PAR","700092050","RELAIS HOTEL DU VIEUX PARIS","ACPARC06","48.85376","2.34289","FR","0.44","KM"
"OI","PAR","700092051","HOTEL RESIDENCE DES ARTS","OIPARRDA","48.85351","2.34245","FR","0.47","KM"
"OI","PAR","700006438","HOTEL VILLA D ESTREES","OIPARVDE","48.85337","2.34233","FR","0.48","KM"
"HI","PAR","700132326","HOLIDAY INN PARIS-NOTRE DAME","HIPARC12","48.85271","2.34235","FR","0.48","KM"
"KY","PAR","700005648","HOTEL CALIFORNIA SAINT GERMAIN","KYPARCSG","48.84908","2.34717","FR","0.49","KM"
"WW","PAR","700018106","VILLA PANTHEON","WWPARVLP","48.84917","2.34615","FR","0.5","KM"
"UI","PAR","700161096","HOTEL ATMOSPHERES","UIPAR803","48.84874","2.34807","FR","0.51","KM"
"AC","PAR","700158044","HOTEL SAINT-JACQUES","ACPARD49","48.84875","2.34763","FR","0.51","KM"
"XK","PAR","501107986","THE DEMO HOTEL","XKPAR321","48.85821","2.34654","","0.56","KM"
"UI","PAR","700005188","BELLOY SAINT GERMAIN","UIPAR506","48.85032","2.34252","FR","0.57","KM"
"AC","PAR","700061090","RESIDENCE HENRI IV","ACPAR346","48.84817","2.34907","FR","0.57","KM"
"AC","PAR","700870375","DU LOIRET","ACPARE67","48.85693","2.35526","FR","0.61","KM"
